,metadata,ArticleID,index,last name,first name,AuthorName,clean name,confirmed name,Sex
15785,"Sanchez-Pages, Santiago",28791,,Sanchez-Pages, Santiago, Santiago Sanchez-Pages,,,
15786,"Vidal-Fernandez, Marian",18222,,Vidal-Fernandez, Marian, Marian Vidal-Fernandez,,,
15787,"Foellmi, Reto",18223,,Foellmi, Reto, Reto Foellmi,Reto Foellmi,Reto Foellmi,Male
15788,"Legge, Stefan",18223,,Legge, Stefan, Stefan Legge,,,
15789,"Schmid, Lukas",18223,,Schmid, Lukas, Lukas Schmid,,,
15790,"Schmid, Lukas",18795,,Schmid, Lukas, Lukas Schmid,,,
15791,"Kaiser, Boris",18224,,Kaiser, Boris, Boris Kaiser,Boris Kaiser,Boris Kaiser,Male
15792,"Siegenthaler, Michael",18224,,Siegenthaler, Michael, Michael Siegenthaler,,,
15793,"Campbell, John Y.",18225,,Campbell, John Y., John Y. Campbell,John Y. Campbell,John Y. Campbell,Male
15794,"Campbell, John Y.",18225,,Campbell, John Y., John Y. Campbell,John Y. Campbell,John Y. Campbell,Male
15795,"Campbell, John Y.",28862,,Campbell, John Y., John Y. Campbell,John Y. Campbell,John Y. Campbell,Male
15796,"Campbell, John Y.",28862,,Campbell, John Y., John Y. Campbell,John Y. Campbell,John Y. Campbell,Male
15797,"Crafts, Nicholas",18226,,Crafts, Nicholas, Nicholas Crafts,,,
15798,"Crafts, Nicholas",25779,,Crafts, Nicholas, Nicholas Crafts,,,
15799,"Chalfin, Aaron",18227,,Chalfin, Aaron, Aaron Chalfin,Aaron Chalfin,Aaron Chalfin,Male
15800,"Danieli, Oren",18227,,Danieli, Oren, Oren Danieli,,,
15801,"Hillis, Andrew",18227,,Hillis, Andrew, Andrew Hillis,Andrew Hillis,Andrew Hillis,Male
15802,"Hillis, Andrew",19033,,Hillis, Andrew, Andrew Hillis,Andrew Hillis,Andrew Hillis,Male
15803,"Jelveh, Zubin",18227,,Jelveh, Zubin, Zubin Jelveh,,,
15804,"Luca, Michael",18227,,Luca, Michael, Michael Luca,,,
15805,"Luca, Michael",19033,,Luca, Michael, Michael Luca,,,
15806,"Forman, Chris",18228,,Forman, Chris, Chris Forman,Chris Forman,Chris Forman,Male
15807,"Goldfarb, Avi",18228,,Goldfarb, Avi, Avi Goldfarb,Avi Goldfarb,Avi Goldfarb,Male
15808,"Greenstein, Shane",18228,,Greenstein, Shane, Shane Greenstein,Shane Greenstein,Shane Greenstein,Male
15809,"Bloom, Nicholas",18229,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15810,"Bloom, Nicholas",18229,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15811,"Bloom, Nicholas",18848,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15812,"Bloom, Nicholas",18848,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15813,"Bloom, Nicholas",19485,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15814,"Bloom, Nicholas",19485,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15815,"Bloom, Nicholas",23358,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15816,"Bloom, Nicholas",23358,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15817,"Bloom, Nicholas",23493,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15818,"Bloom, Nicholas",23493,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15819,"Bloom, Nicholas",23728,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15820,"Bloom, Nicholas",23728,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15821,"Bloom, Nicholas",23860,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15822,"Bloom, Nicholas",23860,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15823,"Bloom, Nicholas",23922,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15824,"Bloom, Nicholas",23922,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15825,"Bloom, Nicholas",25524,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15826,"Bloom, Nicholas",25524,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15827,"Bloom, Nicholas",25932,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15828,"Bloom, Nicholas",25932,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15829,"Bloom, Nicholas",28727,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15830,"Bloom, Nicholas",28727,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15831,"Bloom, Nicholas",28741,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15832,"Bloom, Nicholas",28741,,Bloom, Nicholas, Nicholas Bloom,Nicholas Bloom,Nicholas Bloom,Male
15833,"Lemos, Renata",18229,,Lemos, Renata, Renata Lemos,,,
15834,"Lemos, Renata",19485,,Lemos, Renata, Renata Lemos,,,
15835,"Sadun, Raffaella",18229,,Sadun, Raffaella, Raffaella Sadun,Raffaella Sadun,Raffaella Sadun,Female
15836,"Sadun, Raffaella",19485,,Sadun, Raffaella, Raffaella Sadun,Raffaella Sadun,Raffaella Sadun,Female
15837,"Sadun, Raffaella",23922,,Sadun, Raffaella, Raffaella Sadun,Raffaella Sadun,Raffaella Sadun,Female
15838,"Sadun, Raffaella",25513,,Sadun, Raffaella, Raffaella Sadun,Raffaella Sadun,Raffaella Sadun,Female
15839,"Sadun, Raffaella",28741,,Sadun, Raffaella, Raffaella Sadun,Raffaella Sadun,Raffaella Sadun,Female
15840,"Scur, Daniela",18229,,Scur, Daniela, Daniela Scur,Daniela Scur,Daniela Scur,Female
15841,"Cramer, Judd",18230,,Cramer, Judd, Judd Cramer,,,
15842,"Harhoff, Dietmar",18231,,Harhoff, Dietmar, Dietmar Harhoff,Dietmar Harhoff,Dietmar Harhoff,Male
15843,"Decker, Ryan A.",18232,,Decker, Ryan A., Ryan A. Decker,,,
15844,"Decker, Ryan A.",18658,,Decker, Ryan A., Ryan A. Decker,,,
15845,"Haltiwanger, John",18232,,Haltiwanger, John, John Haltiwanger,John Haltiwanger,John C. Haltiwanger,Male
15846,"Haltiwanger, John",18232,,Haltiwanger, John, John Haltiwanger,John Haltiwanger,John Haltiwanger,Male
15847,"Haltiwanger, John",18658,,Haltiwanger, John, John Haltiwanger,John Haltiwanger,John C. Haltiwanger,Male
15848,"Haltiwanger, John",18658,,Haltiwanger, John, John Haltiwanger,John Haltiwanger,John Haltiwanger,Male
15849,"Haltiwanger, John",19029,,Haltiwanger, John, John Haltiwanger,John Haltiwanger,John C. Haltiwanger,Male
15850,"Haltiwanger, John",19029,,Haltiwanger, John, John Haltiwanger,John Haltiwanger,John Haltiwanger,Male
15851,"Haltiwanger, John",28794,,Haltiwanger, John, John Haltiwanger,John Haltiwanger,John C. Haltiwanger,Male
15852,"Haltiwanger, John",28794,,Haltiwanger, John, John Haltiwanger,John Haltiwanger,John Haltiwanger,Male
15853,"Jarmin, Ron S.",18232,,Jarmin, Ron S., Ron S. Jarmin,Ron S. Jarmin,Ron Jarmin,Male
15854,"Jarmin, Ron S.",18658,,Jarmin, Ron S., Ron S. Jarmin,Ron S. Jarmin,Ron Jarmin,Male
15855,"Jarmin, Ron S.",19039,,Jarmin, Ron S., Ron S. Jarmin,Ron S. Jarmin,Ron Jarmin,Male
15856,"Miranda, Javier",18232,,Miranda, Javier, Javier Miranda,Javier Miranda,Javier Miranda,Male
15857,"Miranda, Javier",18658,,Miranda, Javier, Javier Miranda,Javier Miranda,Javier Miranda,Male
15858,"Dent, Robert C.",18233,,Dent, Robert C., Robert C. Dent,,,
15859,"Karahan, Fatih",18233,,Karahan, Fatih, Fatih Karahan,Fatih Karahan,Fatih Karahan,Male
15860,"Karahan, Fatih",26388,,Karahan, Fatih, Fatih Karahan,Fatih Karahan,Fatih Karahan,Male
15861,"Karahan, Fatih",26391,,Karahan, Fatih, Fatih Karahan,Fatih Karahan,Fatih Karahan,Male
15862,"Pugsley, Benjamin",18233,,Pugsley, Benjamin, Benjamin Pugsley,Benjamin Pugsley,Benjamin Pugsley,Male
15863,"Pugsley, Benjamin",26388,,Pugsley, Benjamin, Benjamin Pugsley,Benjamin Pugsley,Benjamin Pugsley,Male
15864,"Sahin, Aysegul",18233,,Sahin, Aysegul, Aysegul Sahin,Aysegul Sahin,Aysegul Sahin,Female
15865,"Sahin, Aysegul",26129,,Sahin, Aysegul, Aysegul Sahin,Aysegul Sahin,Aysegul Sahin,Female
15866,"Sahin, Aysegul",26388,,Sahin, Aysegul, Aysegul Sahin,Aysegul Sahin,Aysegul Sahin,Female
15867,"Schoar, Antoinette",18234,,Schoar, Antoinette, Antoinette Schoar,Antoinette Schoar,Antoinette Schoar,Female
15868,"Schoar, Antoinette",23745,,Schoar, Antoinette, Antoinette Schoar,Antoinette Schoar,Antoinette Schoar,Female
15869,"Schoar, Antoinette",28729,,Schoar, Antoinette, Antoinette Schoar,Antoinette Schoar,Antoinette Schoar,Female
15870,"Zuo, Luo",18234,,Zuo, Luo, Luo Zuo,,,
15871,"Lahey, Joanna N.",18235,,Lahey, Joanna N., Joanna N. Lahey,,,
15872,"Oxley, Douglas",18235,,Oxley, Douglas, Douglas Oxley,Douglas Oxley,Douglas Oxley,Male
15873,"Borra, Cristina",18236,,Borra, Cristina, Cristina Borra,Cristina Borra,Cristina Borra,Female
15874,"Gonzalez, Libertad",18236,,Gonzalez, Libertad, Libertad Gonzalez,,,
15875,"Tumen, Semih",18237,,Tumen, Semih, Semih Tumen,,,
15876,"Antman, Francisca",18238,,Antman, Francisca, Francisca Antman,Francisca Antman,Francisca M. Antman,Female
15877,"Duncan, Brian",18238,,Duncan, Brian, Brian Duncan,Brian Duncan,Brian Duncan,Male
15878,"Trejo, Stephen J.",18238,,Trejo, Stephen J., Stephen J. Trejo,Stephen J. Trejo,Stephen J. Trejo,Male
15879,"Trejo, Stephen J.",18238,,Trejo, Stephen J., Stephen J. Trejo,Stephen J. Trejo,Stephen J. Trejo,Male
15880,"Cui, Wei",18239,,Cui, Wei, Wei Cui,,,
15881,"Radde, Soeren",18239,,Radde, Soeren, Soeren Radde,,,
15882,"Eggertsson, Gauti B.",18240,,Eggertsson, Gauti B., Gauti B. Eggertsson,Gauti B. Eggertsson,Gauti B. Eggertsson,Male
15883,"Eggertsson, Gauti B.",24752,,Eggertsson, Gauti B., Gauti B. Eggertsson,Gauti B. Eggertsson,Gauti B. Eggertsson,Male
15884,"Mehrotra, Neil R.",18240,,Mehrotra, Neil R., Neil R. Mehrotra,,,
15885,"Summers, Lawrence H.",18240,,Summers, Lawrence H., Lawrence H. Summers,Lawrence H. Summers,Lawrence H. Summers,Male
15886,"Summers, Lawrence H.",18240,,Summers, Lawrence H., Lawrence H. Summers,Lawrence H. Summers,Lawrence H. Summers,Male
15887,"Garicano, Luis",18241,,Garicano, Luis, Luis Garicano,Luis Garicano,Luis Garicano,Male
15888,"Garicano, Luis",18843,,Garicano, Luis, Luis Garicano,Luis Garicano,Luis Garicano,Male
15889,"Garicano, Luis",23923,,Garicano, Luis, Luis Garicano,Luis Garicano,Luis Garicano,Male
15890,"Garicano, Luis",26208,,Garicano, Luis, Luis Garicano,Luis Garicano,Luis Garicano,Male
