,0,AuthorID
523,"Sun, Hongfei",10142
524,"Evans, George W.",10143
525,"van Ewijk, Reyn",10144
526,"AHMAD, J",10145
527,"THORNTON, J",10146
528,"DellaVigna, Stefano",10147
529,"Devicienti, Francesco",10148
530,"HARTWICK, PG",10149
531,"MANNING, A",10150
532,"Bender, Stefan",10151
533,"LEDYARD, JO",10152
534,"Hauk, Esther",10153
535,"TROY, L",10154
536,"SCHELLING, TC",10155
537,"ABRAHAM, KG",10156
538,"EPPS, TW",10157
539,"KRUSE, DL",10158
540,"Song, Jae",10159
541,"HOWE, CW",10160
542,"Sack, B",10161
543,"Anderberg, Dan",10162
544,"Rosholm, Michael",10163
545,"HEYMANN, D",10164
546,"HENDRICKS, WE",10165
547,"Corden, W. M.",10166
548,"Cunat, Vicente",10167
549,"SALONER, G",10168
550,"GRAAFF, JD",10169
551,"Teal, F",10170
552,"Armona, Luis",10171
553,"Goto, F",10172
554,"HURD, M",10173
555,"Barrage, Lint",10174
556,"Gehrels, Franz",10175
557,"Nelson, Charles R.",10176
558,"HERMAN, R",10177
559,"Whitin, T. M.",10178
560,"GATSIOS, K",10179
561,"Cowell, FA",10180
562,"DICKINSON, ZC",10181
563,"Vijverberg, W",10182
564,"Shorrocks, A",10183
565,"Schoellman, T",10184
566,"Chirinko, RS",10185
567,"ANDERSON, PS",10186
568,"RIEBER, WJ",10187
569,"ROGOFF, K",10188
570,"Lauermann, Stephan",10189
571,"Apicella, Coren L.",10190
572,"Rabe, Birgitta",10191
573,"BERNSTEIN, J",10192
574,"Pain, N",10193
575,"Zwick, Eric",10194
576,"Eugster, Beatrix",10195
577,"Le Yaouanq, Yves",10196
578,"Feenstra, Robert C.",10197
579,"Demsetz, Harold",10198
580,"Fetzer, Thiemo",10199
581,"Schumpeter, Elizabeth B.",10200
582,"KAFOGLIS, ML",10201
583,"Whitmore, D",10202
584,"ROBERTS, HV",10203
585,"KURZ, M",10204
586,"MIRANOWSKI, J",10205
587,"Piffer, Michele",10206
588,"WERNEKE, D",10207
589,"LOASBY, BJ",10208
590,"AYDEDE, SK",10209
591,"Clark, A",10210
592,"RUGGLES, R",10211
593,"GRUBEL, HG",10212
594,"Honkapohja, S",10213
595,"Gottschalk, P",10214
596,"SALANT, WS",10215
597,"Holton, Richard H.",10216
598,"Bocola, Luigi",10217
599,"Barlow, Robin",10218
600,"IPPOLITO, RA",10219
601,"Sampat, Bhaven N.",10220
602,"DRETTAKIS, EG",10221
603,"RIMLINGER, GV",10222
604,"HALLETT, G",10223
605,"Daniele, Gianmarco",10224
606,"Galenson, DW",10225
607,"Kwon, MJ",10226
608,"HANSEN, RG",10227
609,"Gathmann, Christina",10228
610,"NICHOLSON, M",10229
611,"CULBERTSON, JM",10230
612,"Poirier, Alexandre",10231
613,"HEFLEBOWER, RB",10232
614,"Smetters, KA",10233
615,"Chamberlain, Neil",10234
616,"SHILLER, RJ",10235
617,"Dobrovolsky, S. P.",10236
618,"Stewart, K",10237
619,"BENNETT, CTF",10238
620,"GROVE, MA",10239
621,"Goldmann, Franz",10240
622,"Persitz, Dotan",10241
623,"Bassetto, Marco",10242
624,"FISHER, WD",10243
625,"HART, O",10244
626,"Bond, SR",10245
627,"Sanders, Seth G.",10246
628,"Xie, Jia",10247
629,"Engel, E",10248
630,"Tong, Matthew",10249
631,"Hsu, Joanne W.",10250
632,"Johnson, P",10251
633,"Sumarto, Sudarno",10252
634,"HO, YC",10253
635,"Ellison, Glenn",10254
636,"WORSWICK, GD",10255
637,"Harris, C",10256
638,Stamp,10257
639,"Chong, Howard",10258
640,"Van Wincoop, Eric",10259
641,"Luco, Fernando",10260
642,"Artavanis, Nikolaos",10261
643,"REID, JD",10262
644,"BARKAI, H",10263
645,"Beetsma, Roel",10264
646,"FRANK, AG",10265
647,"McCallum, BT",10266
648,"Moore, Donald A.",10267
649,"MOTTA, M",10268
650,"PERLOFF, HS",10269
651,"Stiglitz, JE",10270
652,"Baird, Sarah",10271
653,"Sommer, Kamila",10272
654,"Bateman, I",10273
655,"BURBRIDGE, LC",10274
656,"VARIAN, HR",10275
657,"Feenberg, DR",10276
658,"DONALDSON, D",10277
659,"Hunt, Robert",10278
660,"La Nauze, J. A.",10279
661,"DIXON, VJ",10280
662,"Buckles, Stephen",10281
663,"Ostrom, Elinor",10282
664,"Heathcote, Jonathan",10283
665,"Rocheteau, Guillaume",10284
666,"Hammond, Bray",10285
667,"McMurray, Joseph C.",10286
668,"Abowd, John M.",10287
669,"Miravete, Eugenio J.",10288
670,"HARRIS, JE",10289
671,"GRUENSPECHT, HK",10290
672,"LiCalzi, Marco",10291
673,"Burgess, R",10292
674,"Kriz, M. A.",10293
675,"Zhao, Xiaofei",10294
676,"Tchaidze, RR",10295
677,"STAFFORD, FP",10296
678,"GUPTA, KL",10297
679,"Li, Hongbin",10298
680,"DREZE, JH",10299
681,"Laitin, David D.",10300
682,"Salardi, Paola",10301
683,"Gray, JS",10302
684,"BLUESTONE, B",10303
685,"Schoenle, Raphael",10304
686,"Fershtman, C",10305
687,"Galama, Titus J.",10306
688,"VANHUYCK, JB",10307
689,"YAWITZ, JB",10308
690,"GILLIGAN, T",10309
691,"Garfield, Frank R.",10310
692,"LINDNER, RK",10311
693,"Gibbons, S",10312
694,"Sebastiani, Michael",10313
695,"Tenorio, R",10314
696,"Robinson, George Buchan",10315
697,"Cettolin, Elena",10316
698,"Yang, Chenyu",10317
699,"ROBINS, PK",10318
700,"Romer, D",10319
701,"Peston, M. H.",10320
702,"Zanella, Giulio",10321
703,"RICHARDS, DJ",10322
704,"Eichengreen, B",10323
705,"Derksen, J. B. D.",10324
706,"JUDD, KL",10325
707,"Gachter, S",10326
708,"Solomons, David",10327
709,"Schuller, George J.",10328
710,"CARMICHAEL, HL",10329
711,"Kuziemko, Ilyana",10330
712,"Swann, P",10331
713,"Makepeace, G",10332
714,"Hough, Louis",10333
715,"HALL, HK",10334
716,"DARDANONI, V",10335
717,"Cooper, B",10336
718,"Ferger, Wirth F.",10337
719,"Qureshi, Mahvash S.",10338
720,"EZEKIEL, H",10339
721,"Shore-Sheppard, Lara D.",10340
722,"Mire, Joseph",10341
723,"BROOKSHIRE, DS",10342
724,"Bollerslev, T",10343
725,"Sheffrin, SM",10344
726,"Lusardi, Annamaria",10345
727,"BOOTH, AE",10346
728,"BURTON, MP",10347
729,"PREBISCH, R",10348
730,"FOSTER, J",10349
731,"Cuberes, David",10350
732,"Millard, Stephen",10351
733,"Tesfatsion, Leigh",10352
734,"BESLEY, T",10353
735,"Liu, WF",10354
736,"Butler, Jeff",10355
737,"Brown, Elmer J.",10356
738,"Koenig, Felix",10357
739,"Mutuswami, Suresh",10358
740,"Shah, Manisha",10359
741,"Kitson, M",10360
742,"Nataraj, Shanthi",10361
743,"Ho, Katherine",10362
744,"Onder, Ali Sina",10363
745,"Simon, MC",10364
746,"Miller, Nolan H.",10365
747,"Fisher, AC",10366
748,"Dearden, L",10367
749,"Kim, Daehyun",10368
750,"SLOTTJE, DJ",10369
751,"HILTON, GW",10370
752,"Adda, Jerome",10371
753,"WHINSTON, A",10372
754,"Friberg, R",10373
755,"SEATER, JJ",10374
756,"Wren-Lewis, Simon",10375
757,"McLanahan, S",10376
758,"Terborgh, George W.",10377
759,"Shister, J.",10378
760,"Faraglia, Elisa",10379
761,"ERICKSON, E",10380
762,"RODGERS, JD",10381
763,"CREEDY, J",10382
764,"Singleton, Kenneth J.",10383
765,"HOLBROOK, RS",10384
766,"GOMULKA, J",10385
767,"MCCLEERY, RK",10386
768,"WALLACE, PA",10387
769,"Heady, Earl O.",10388
770,"Stango, Victor",10389
771,"Agrawal, Shantanu",10390
772,"Akerlof, GA",10391
773,"Le, Anh",10392
774,"SHOWALTER, DM",10393
775,"WHITE, RD",10394
776,TIETENBE.TH,10395
777,"Henig, Harry",10396
778,"LEITH, JC",10397
779,"AKERLOF, GA",10398
780,"Nybom, Martin",10399
781,"Xu, B",10400
782,"Frechet, Maurice",10401
783,"RUSSELL, RR",10402
784,"KIMBALL, MS",10403
785,"Rothschild, K. W.",10404
786,"FRALETTI, P",10405
787,"HARNETT, DL",10406
788,"SMITH, B",10407
789,"Roberts, J",10408
790,"Diebold, William, Jr.",10409
791,"Karp, Larry",10410
792,"Minford, P",10411
793,"HALIASSOS, M",10412
794,"TUCKMAN, HP",10413
795,"Light, A",10414
796,"Bergstrom, Theodore C.",10415
797,"MARKUSEN, JR",10416
798,"BRONFENBRENNER, M",10417
799,"MADDEN, JF",10418
800,"Harrington, DE",10419
801,"Reichlin, Lucrezia",10420
802,"KEMP, MC",10421
803,"McCue, Kristin",10422
804,"Perez-Castrillo, D",10423
805,"Deck, CA",10424
806,"Toussaert, Severine",10425
807,"Sun, Bo",10426
808,"Zilibotti, Fabrizio",10427
809,"SANDER, W",10428
810,"Pearlman, Joseph",10429
811,"Alvarez, Fernando",10430
812,"Matzner, WT",10431
813,"Hsieh, Chang-Tai",10432
814,"Engerman, SL",10433
815,"Lipsey, Robert E.",10434
816,"BENNION, EG",10435
817,"ROSENZWEIG, MR",10436
818,"Laha, R. G.",10437
819,"SCARF, H",10438
820,"FEENBERG, DR",10439
821,"FRASE, RW",10440
822,"Yashiro, N",10441
823,"WILLIAMS, AW",10442
