,metadata,last name,first name
432,"Oxenfeldt, Alfred R.",Oxenfeldt, Alfred R.
433,"Van Den Haag, Ernest",Van Den Haag, Ernest
434,"Henderson, John P.",Henderson, John P.
435,"Bergstrom, A. R.",Bergstrom, A. R.
436,"Frechet, Maurice",Frechet, Maurice
439,"Machlup, Fritz",Machlup, Fritz
440,"Morgan, E. Victor",Morgan, E. Victor
441,"Frankel, Marvin",Frankel, Marvin
442,"Cohen, Jacob",Cohen, Jacob
443,"Wells, Paul",Wells, Paul
444,"Hansen, Alvin H.",Hansen, Alvin H.
445,"Tyszynski, H.",Tyszynski, H.
446,"Nicholson, J. L.",Nicholson, J. L.
447,"Campbell, A. D.",Campbell, A. D.
448,"Fleming, Marcus",Fleming, Marcus
450,"Archibald, G. C.",Archibald, G. C.
451,"Irvine, A. G.",Irvine, A. G.
452,"Tawney, R. H.",Tawney, R. H.
454,"Sturmthal, Adolf",Sturmthal, Adolf
455,"Hough, Louis",Hough, Louis
456,"Katz, Samuel I.",Katz, Samuel I.
457,"Earley, James S.",Earley, James S.
458,"North, Douglass C.",North, Douglass C.
459,"Hutchison, T. W.",Hutchison, T. W.
460,"Dorfman, Joseph",Dorfman, Joseph
461,"Chenery, Hollis B.",Chenery, Hollis B.
462,"Nicholls, William H.",Nicholls, William H.
463,"Young, John H.",Young, John H.
465,"Krutilla, John V.",Krutilla, John V.
466,"Moore, F. T.",Moore, F. T.
467,"Moore, Wilbert E.",Moore, Wilbert E.
468,"Hoselitz, Bert F.",Hoselitz, Bert F.
469,"Power, John H.",Power, John H.
470,"Valavanis-Vail, Stefan",Valavanis-Vail, Stefan
472,"Bronfenbrenner, Martin",Bronfenbrenner, Martin
473,"Baldwin, Robert E.",Baldwin, Robert E.
474,"Aubrey, Henry G.",Aubrey, Henry G.
475,"Livingston, J. A.",Livingston, J. A.
476,"Turner, Robert C.",Turner, Robert C.
477,"Bailey, Stephen K.",Bailey, Stephen K.
478,"Fels, Rendigs",Fels, Rendigs
479,"Roose, Kenneth D.",Roose, Kenneth D.
480,"Robinson, Marshall A.",Robinson, Marshall A.
481,"Youngdahl, Richard",Youngdahl, Richard
482,"Holland, Daniel M.",Holland, Daniel M.
483,"Strayer, Paul J.",Strayer, Paul J.
484,"Clark, J. M.",Clark, J. M.
485,"Weintraub, Sidney",Weintraub, Sidney
486,"Whitney, Simon N.",Whitney, Simon N.
487,"Mckie, James W.",Mckie, James W.
488,"Marengo, Louis",Marengo, Louis
489,"Penrose, Edith",Penrose, Edith
490,"Hickman, C. Addison",Hickman, C. Addison
491,"Blair, John M.",Blair, John M.
492,"Poole, Kenyon E.",Poole, Kenyon E.
493,"Vickrey, William",Vickrey, William
494,"Edwards, Ford K.",Edwards, Ford K.
495,"Goode, Richard",Goode, Richard
496,"Laursen, Svend",Laursen, Svend
497,"Mckinley, Erskine",Mckinley, Erskine
498,"Westfield, Fred M.",Westfield, Fred M.
499,"Scott, Ira O., Jr.",Scott, Ira O.
500,"Collery, Arnold P.",Collery, Arnold P.
501,"Lydall, Harold",Lydall, Harold
502,"Gartaganis, Arthur J.",Gartaganis, Arthur J.
503,"Goldberger, Arthur S.",Goldberger, Arthur S.
504,"Theil, H.",Theil, H.
505,"Dewey, Donald",Dewey, Donald
506,"Tobin, James",Tobin, James
507,"Scott, Anthony",Scott, Anthony
508,"Jenkins, H. P. B.",Jenkins, H. P. B.
509,"Gordon, Donald F.",Gordon, Donald F.
510,"Knight, Frank H.",Knight, Frank H.
511,"Kuznets, Simon",Kuznets, Simon
512,"Stocking, George V.",Stocking, George V.
513,"Mueller, Willard F.",Mueller, Willard F.
514,"Dixit, Avinash",Dixit, Avinash
515,"Shin, Hyun Song",Shin, Hyun Song
516,"Fehr, Ernst",Fehr, Ernst
517,"Brown, Martin",Brown, Martin
518,"Zehnder, Christian",Zehnder, Christian
519,"Cogley, Timothy",Cogley, Timothy
520,"Sargent, Thomas J.",Sargent, Thomas J.
521,"Huang, Kevin X. D.",Huang, Kevin X. D.
522,"Liu, Zheng",Liu, Zheng
523,"Zha, Tao",Zha, Tao
524,"Lockwood, Ben",Lockwood, Ben
525,"Migali, Giuseppe",Migali, Giuseppe
526,"Clark, Andrew E.",Clark, Andrew E.
527,"Kristensen, Nicolai",Kristensen, Nicolai
528,"Westergard-Nielsen, Niels",Westergard-Nielsen, Niels
529,"Kassenboehmer, Sonja C.",Kassenboehmer, Sonja C.
530,"Haisken-Denew, John P.",Haisken-Denew, John P.
531,"Gregory-Smith, Ian",Gregory-Smith, Ian
532,"Thompson, Steve",Thompson, Steve
533,"Wright, Peter W.",Wright, Peter W.
534,"Luechinger, Simon",Luechinger, Simon
535,"Brunello, Giorgio",Brunello, Giorgio
536,"Fort, Margherita",Fort, Margherita
537,"Weber, Guglielmo",Weber, Guglielmo
538,"Bressoux, Pascal",Bressoux, Pascal
539,"Kramarz, Francis",Kramarz, Francis
540,"Prost, Corinne",Prost, Corinne
541,"Bold, Tessa",Bold, Tessa
542,"Dohmen, Thomas",Dohmen, Thomas
543,"Falk, Armin",Falk, Armin
544,"Huffman, David",Huffman, David
545,"Sunde, Uwe",Sunde, Uwe
546,"Zhang, Jun",Zhang, Jun
547,"Wang, Ruqu",Wang, Ruqu
548,"Blanchflower, David G.",Blanchflower, David G.
549,"Shadforth, Chris",Shadforth, Chris
550,"Blundell, Richard",Blundell, Richard
551,"Brewer, Mike",Brewer, Mike
552,"Haan, Peter",Haan, Peter
553,"Shephard, Andrew",Shephard, Andrew
554,"Breyer, Stephen",Breyer, Stephen
555,"Francesconi, Marco",Francesconi, Marco
556,"Rainer, Helmut",Rainer, Helmut
557,"Van Der Klaauw, Wilbert",Van Der Klaauw, Wilbert
558,"Gregg, Paul",Gregg, Paul
559,"Harkness, Susan",Harkness, Susan
560,"Smith, Sarah",Smith, Sarah
561,"Grogger, Jeffrey",Grogger, Jeffrey
562,"Karoly, Lynn A.",Karoly, Lynn A.
563,"Hatton, Timothy J.",Hatton, Timothy J.
564,"Sinclair-Desgagne, Bernard",Sinclair-Desgagne, Bernard
565,"Bhaskar, V.",Bhaskar, V.
566,"Chan, William",Chan, William
567,"Courty, Pascal",Courty, Pascal
568,"Hao, Li",Hao, Li
569,"Sutter, Matthias",Sutter, Matthias
570,"Myatt, David P.",Myatt, David P.
571,"Wallace, Chris",Wallace, Chris
572,"Chaudhuri, Ananish",Chaudhuri, Ananish
573,"Schotter, Andrew",Schotter, Andrew
574,"Sopher, Barry",Sopher, Barry
575,"Branch, William A.",Branch, William A.
576,"Carlson, John",Carlson, John
577,"Evans, George W.",Evans, George W.
578,"Mcgough, Bruce",Mcgough, Bruce
579,"Diebold, Francis X.",Diebold, Francis X.
580,"Yilmaz, Kamil",Yilmaz, Kamil
581,"Kee, Hiau Looi",Kee, Hiau Looi
582,"Nicita, Alessandro",Nicita, Alessandro
583,"Olarreaga, Marcelo",Olarreaga, Marcelo
584,"Dolado, Juan J.",Dolado, Juan J.
585,"Jansen, Marcel",Jansen, Marcel
586,"Jimeno, Juan F.",Jimeno, Juan F.
587,"Clark, Jeremy",Clark, Jeremy
588,"Friesen, Lana",Friesen, Lana
589,"Ellingsen, Tore",Ellingsen, Tore
590,"Johannesson, Magnus",Johannesson, Magnus
591,"Lilja, Jannie",Lilja, Jannie
592,"Zetterqvist, Henrik",Zetterqvist, Henrik
593,"Boone, Jan",Boone, Jan
594,"Goeree, Jacob K.",Goeree, Jacob K.
595,"Pecorino, Paul",Pecorino, Paul
596,"Teague, Vanessa",Teague, Vanessa
597,"Chamberlain, Gary",Chamberlain, Gary
599,"Mitchener, Kris James",Mitchener, Kris James
600,"Weidenmier, Marc",Weidenmier, Marc
601,"Montalvo, Jose G.",Montalvo, Jose G.
602,"Reynal-Querol, Marta",Reynal-Querol, Marta
604,"Rocco, Lorenzo",Rocco, Lorenzo
605,"Schwienbacher, Armin",Schwienbacher, Armin
606,"Gonzalez-Rozada, Martin",Gonzalez-Rozada, Martin
607,"Yeyati, Eduardo Levy",Yeyati, Eduardo Levy
608,"Hoerdahl, Peter",Hoerdahl, Peter
609,"Tristani, Oreste",Tristani, Oreste
610,"Vestin, David",Vestin, David
611,"Akitoby, Bernardin",Akitoby, Bernardin
612,"Stratmann, Thomas",Stratmann, Thomas
613,"Linn, Joshua",Linn, Joshua
614,"Caggese, Andrea",Caggese, Andrea
615,"Cunat, Vicente",Cunat, Vicente
616,"Baharad, Eyal",Baharad, Eyal
617,"Nitzan, Shmuel",Nitzan, Shmuel
618,"Inderst, Roman",Inderst, Roman
619,"Papaioannou, Elias",Papaioannou, Elias
620,"Siourounis, Gregorios",Siourounis, Gregorios
621,"Di Tella, Rafael",Di Tella, Rafael
622,"Weinschelbaum, Federico",Weinschelbaum, Federico
623,"Cooper, David J.",Cooper, David J.
624,"Fang, Hanming",Fang, Hanming
625,"Falkinger, Josef",Falkinger, Josef
626,"Mukherjee, Arijit",Mukherjee, Arijit
627,"Thompson, Peter",Thompson, Peter
628,"Etro, Federico",Etro, Federico
629,"Maeda, Akira",Maeda, Akira
630,"Serrano, Roberto",Serrano, Roberto
631,"Volij, Oscar",Volij, Oscar
632,"Lothian, James R.",Lothian, James R.
633,"Taylor, Mark P.",Taylor, Mark P.
634,"Frazer, Garth",Frazer, Garth
635,"Knight, Brian",Knight, Brian
636,"Van Veelen, Matthus",Van Veelen, Matthus
637,"Van Der Weide, Roy",Van Der Weide, Roy
638,"Crawford, Ian",Crawford, Ian
639,"Neary, J. Peter",Neary, J. Peter
640,"Shy, Oz",Shy, Oz
641,"Stenbacka, Rune",Stenbacka, Rune
642,"Fumagalli, Chiara",Fumagalli, Chiara
643,"Motta, Massimo",Motta, Massimo
644,"Calzada, Joan",Calzada, Joan
645,"Valletti, Tommaso M.",Valletti, Tommaso M.
648,"Kremhelmer, Susanne",Kremhelmer, Susanne
649,"Schmidt, Klaus M.",Schmidt, Klaus M.
650,"Dutt, Pushan",Dutt, Pushan
651,"Mitra, Devashish",Mitra, Devashish
652,"Santos-Pinto, Luis",Santos-Pinto, Luis
653,"Bond, Philip",Bond, Philip
654,"Cervellati, Matteo",Cervellati, Matteo
655,"Fortunato, Piergiuseppe",Fortunato, Piergiuseppe
657,"Stillman, Steven",Stillman, Steven
658,"Thomas, Duncan",Thomas, Duncan
659,"Paserman, M. Daniele",Paserman, M. Daniele
660,"Carrillo, Juan D.",Carrillo, Juan D.
661,"Dewatripont, Mathias",Dewatripont, Mathias
662,"Hoff, Karla",Hoff, Karla
663,"Stiglitz, Joseph E.",Stiglitz, Joseph E.
665,"Castanheira, Micael",Castanheira, Micael
666,"Heller, Dana",Heller, Dana
667,"Spiegler, Ran",Spiegler, Ran
668,"Rowthorn, Robert",Rowthorn, Robert
669,"Sethi, Rajiv",Sethi, Rajiv
670,"Rudebusch, Glenn D.",Rudebusch, Glenn D.
671,"Wu, Tao",Wu, Tao
672,"Epifani, Paolo",Epifani, Paolo
673,"Gancia, Gino",Gancia, Gino
674,"Bjerk, David",Bjerk, David
675,"Manning, Alan",Manning, Alan
676,"Swaffield, Joanna",Swaffield, Joanna
677,"Black, Sandra E.",Black, Sandra E.
678,"Devereux, Paul J.",Devereux, Paul J.
679,"Salvanes, Kjell G.",Salvanes, Kjell G.
680,"Dee, Thomas S.",Dee, Thomas S.
681,"Fratzscher, Marcel",Fratzscher, Marcel
682,"Boero, Gianna",Boero, Gianna
683,"Smith, Jeremy",Smith, Jeremy
684,"Wallis, Kenneth F.",Wallis, Kenneth F.
685,"Garratt, Anthony",Garratt, Anthony
686,"Koop, Gary",Koop, Gary
687,"Vahey, Shaun P.",Vahey, Shaun P.
688,"Strulik, Holger",Strulik, Holger
689,"Maskin, Eric S.",Maskin, Eric S.
691,"Myerson, Roger B.",Myerson, Roger B.
692,"Ali, Hela Hadj",Ali, Hela Hadj
693,"Lecocq, Sebastien",Lecocq, Sebastien
694,"Visser, Michael",Visser, Michael
695,"Ashenfelter, Orley",Ashenfelter, Orley
696,"Cheshire, Paul C.",Cheshire, Paul C.
697,"Hilber, Christian A. L.",Hilber, Christian A. L.
699,"Diener, Ed",Diener, Ed
700,"Georgellis, Yannis",Georgellis, Yannis
701,"Lucas, Richard E.",Lucas, Richard E.
702,"Gergaud, Olivier",Gergaud, Olivier
703,"Ginsburgh, Victor",Ginsburgh, Victor
704,"Stern, Nicholas",Stern, Nicholas
705,"Paxson, Christina",Paxson, Christina
706,"Rouse, Cecilia Elena",Rouse, Cecilia Elena
