10166,"Michaelides, A",A Michaelides,Alexander Michaelides,Male,,
9971,"Mikkola, A",A Mikkola,?,?,,
2572,"Milne, A",A Milne,Alistair Milne,Male,,
2582,"Missale, A",A Missale,Alessandro Missale,Male,,
9004,"Mody, A",A Mody,Ashoka Mody,Male,,
1309,"Morag, A",A Morag,?,?,,
11543,"Mukherji, A",A Mukherji,Arijit Mukherji,Male,,
8889,"Munro, A",A Munro,Alistair Munro,Male,,
4582,"Murphy, A",A Murphy,Alvin D. Murphy,Male,,
4551,"Muscatelli, A",A Muscatelli,Antonio Muscatelli,Male,,
9945,"Muthoo, A",A Muthoo,Abhinay Muthoo,Male,,
11277,"Myatt, A",A Myatt,Anthony Myatt,Male,,
13894,"Nakamura, A",A Nakamura,Alice Nakamura,Female,,
1303,"Nataf, A",A Nataf,?,?,,
11877,"Nevo, A",A Nevo,Aviv Nevo,Male,,
3887,"Neyman, A",A Neyman,Abraham Neyman,Male,,
11802,"Nichols, A",A Nichols,Austin Nichols,Male,,
3461,"Nove, A",A Nove,Alexander Nove,Male,,
7633,"Nowicki, A",A Nowicki,?,?,,
4181,"Obrien, A",A Obrien,?,?,,
11745,"Ockenfels, A",A Ockenfels,Axel Ockenfels,Male,,
4560,"Orphanides, A",A Orphanides,Athanasios Orphanides,Male,,
14533,"Owens, A",A Owens,?,?,,
3171,"Pakes, A",A Pakes,Ariel Pakes,Male,,
4407,"Panagariya, A",A Panagariya,Arvind Panagariya,Male,,
8916,"Pavan, A",A Pavan,Alessandro Pavan,Male,,
13510,"Peacock, A",A Peacock,Alan T. Peacock,Male,,
9895,"Pelloni, A",A Pelloni,Alessandra Pelloni,Female,,
3273,"Philippopoulos, A",A Philippopoulos,Apostolis Philippopoulos,Male,,
1383,"Phillips, A",A Phillips,Almarin Phillips,Male,,
9040,"Pinar, A",A Pinar,?,?,,
14000,"Policano, A",A Policano,Andrew J. Policano,Male,,
2634,"Polinsky, A",A Polinsky,A. Mitchell Polinsky,Male,,
6105,"Postlewaite, A",A Postlewaite,Andrew Postlewaite,Male,,
1639,"Powell, A",A Powell,Alan Powell,Male,,
10120,"Prat, A",A Prat,Andrea Prat,Male,,
5781,"Proschan, A",A Proschan,?,?,,
3469,"Qayum, A",A Qayum,Abdul Qayum,Male,,
6026,"Raviv, A",A Raviv,Artur Raviv,Male,,
13431,"Ray, A",A Ray,Adam Ray,Male,,
2672,"Razin, A",A Razin,Assaf Razin,Male,,
3337,"Rees, A",A Rees,Albert E. Rees,Male,,
4785,"Reynoso, A",A Reynoso,Ana Reynoso,Female,,
3673,"Riedl, A",A Riedl,Arno Riedl,Male,,
215,"Robinson, A",A Robinson,Abraham Robinson,Male,,
6755,"Roell, A",A Roell,Ailsa A Roell,Female,,
8491,"Romeo, A",A Romeo,Anthony Romeo,Male,,
11981,"Rosen, A",A Rosen,Adam M. Rosen,Male,,
4373,"Rubinstein, A",A Rubinstein,Ariel Rubinstein,Male,,
5924,"Rubner, A",A Rubner,?,?,,
4556,"Rustichini, A",A Rustichini,Aldo Rustichini,Male,,
8867,"Sadanand, A",A Sadanand,Asha Sadanand,Female,,
14163,"Sanderson, A",A Sanderson,Allen R. Sanderson,Male,,
2686,"Sandmo, A",A Sandmo,Agnar Sandmo,Male,,
1859,"Sandroni, A",A Sandroni,Alvaro Sandroni,Male,,
9041,"Santos-Paulino, A",A Santos-Paulino,Amelia U. Santos-Paulino,Male,,
3283,"Sapir, A",A Sapir,Andr? Sapir,Male,,
