"Vanags, A",A Vanags,Alfred Vanags,Male
"Zauberman, Alfred",Alfred Zauberman,Alfred Zauberman,Male
"Di Tillio, Alfredo",Alfredo Di Tillio,Alfredo Di Tillio,Male
"Hortacsu, Ali",Ali Hortacsu,Ali Hortacsu,Male
"Jadbabaie, Ali",Ali Jadbabaie,Ali Jadbabaie,Male
"Elagraa, Am",Am Elagraa,Ali M. El-Agraa,Male
"Khusro, Am",Am Khusro,Ali Mohammad Khusro,Male
"Shourideh, Ali",Ali Shourideh,Ali Shourideh,Male
"Onder, Ali Sina",Ali Sina Onder,Ali Sina Onder,Male
"Yurukoglu, Ali",Ali Yurukoglu,Ali Yurukoglu,Male
"Bourneuf, A",A Bourneuf,Alice E. Bourneuf,Female
"Henriques, Alice",Alice Henriques,Alice Henriques,Female
"Amsden, Ah",Ah Amsden,Alice Hoffenberg Amsden,Female
"Rivlin, Am",Am Rivlin,Alice M. Rivlin,Female
"Mesnard, Alice",Alice Mesnard,Alice Mesnard,Female
"Nakamura, A",A Nakamura,Alice Nakamura,Female
"Adsera, A",A Adsera,Alicia Adsera,Female
"Adsera, Alicia",Alicia Adsera,Alicia Adsera,Female
"Menendez, A",A Menendez,Alicia Menendez,Female
"Naghavi, Alireza",Alireza Naghavi,Alireza Naghavi,Male
"Tahbaz-Salehi, Alireza",Alireza Tahbaz-Salehi,Alireza Tahbaz-Salehi,Male
"Mckay, Alisdair",Alisdair Mckay,Alisdair Mckay,Male
"Aughinbaugh, A",A Aughinbaugh,Alison Aughinbaugh,Female
"Booth, Alison",Alison Booth,Alison Booth,Female
"Booth, Alison L.",Alison L. Booth,Alison L. Booth,Female
"Goodman, Alissa",Alissa Goodman,Alissa Goodman,Female
"Wilson, Alistair J.",Alistair J. Wilson,Alistair J. Wilson,Male
"Mcguire, Alistair",Alistair Mcguire,Alistair Mcguire,Male
"Milne, A",A Milne,Alistair Milne,Male
"Munro, A",A Munro,Alistair Munro,Male
"Ulph, A",A Ulph,Alistair Ulph,Male
"Ulph, Am",Am Ulph,Alistair Ulph,Male
"Collard-Wexler, Allan",Allan Collard-Wexler,Allan Collard-Wexler,Male
"Drazen, A",A Drazen,Allan Drazen,Male
"Drazen, Allan",Allan Drazen,Allan Drazen,Male
"Fisher, Allan G. B.",Allan G. B. Fisher,Allan G. B. Fisher,Male
"Gruchy, Allan G.",Allan G. Gruchy,Allan G. Gruchy,Male
"Timmermann, A",A Timmermann,Allan G. Timmermann,Male
"Gregory, A",A Gregory,Allan Gregory,Male
"Meltzer, Ah",Ah Meltzer,Allan H. Meltzer,Male
"Meltzer, Allan H.",Allan H. Meltzer,Allan H. Meltzer,Male
"Cartter, Allan M.",Allan M. Cartter,Allan M. Cartter,Male
"Feldman, A",A Feldman,Allan M. Feldman,Male
"Feldman, Am",Am Feldman,Allan M. Feldman,Male
"Sly, Allan",Allan Sly,Allan Sly,Male
"Sproul, Allan",Allan Sproul,Allan Sproul,Male
"Timmermann, Allan",Allan Timmermann,Allan Timmermann,Male
"Wurtz, Ah",Ah Wurtz,Allan Wurtz,Male
"Zelenitz, A",A Zelenitz,Allan Zelenitz,Male
"Kelley, Ac",Ac Kelley,Allen C. Kelley,Male
"Goodman, A",A Goodman,Allen Goodman,Male
"Head, Allen",Allen Head,Allen Head,Male
"Berger, An",An Berger,Allen N. Berger,Male
"Ferguson, Allen R.",Allen R. Ferguson,Allen R. Ferguson,Male
"Sanderson, A",A Sanderson,Allen R. Sanderson,Male
"Sinai, A",A Sinai,Allen Sinai,Male
"Sinai, Allen",Allen Sinai,Allen Sinai,Male
"Zhang, Allen",Allen Zhang,Allen Zhang,Male
"Phillips, A",A Phillips,Almarin Phillips,Male
"Phillips, A. W.",A. W. Phillips,Almarin Phillips,Male
"Phillips, Almarin",Almarin Phillips,Almarin Phillips,Male
"Phillips, Aw",Aw Phillips,Almarin Phillips,Male
"Telegdy, Almos",Almos Telegdy,Álmos Telegdy,Male
"Sevilla, Almudena",Almudena Sevilla,Almudena Sevilla,Female
"Stutzer, A",A Stutzer,Alois Stutzer,Male
"Araujo, A",A Araujo,Aloisio Araujo,Male
"Araujo, Aloisio",Aloisio Araujo,Aloisio Araujo,Male
"Bohara, Ak",Ak Bohara,Alok K. Bohara,Male
"Siow, A",A Siow,Aloysius Siow,Male
"Simsek, Alp",Alp Simsek,Alp Simsek,Male
"Chiang, Ac",Ac Chiang,Alpha Chung-i Chiang,Male
"Garcia-Marin, Alvaro",Alvaro Garcia-Marin,Alvaro Garcia-Marin,Male
"Sandroni, A",A Sandroni,Alvaro Sandroni,Male
"Murphy, A",A Murphy,Alvin D. Murphy,Male
"Murphy, Alvin",Alvin Murphy,Alvin D. Murphy,Male
"Roth, Ae",Ae Roth,Alvin E. Roth,Male
"Roth, Ae",Ae Roth,Alvin E. Roth,Male
"Roth, Alvin E.",Alvin E. Roth,Alvin E. Roth,Male
"Hansen, Alvin H.",Alvin H. Hansen,Alvin H. Hansen,Male
"Hansen, Alvin",Alvin Hansen,Alvin Hansen,Male
"Klevorick, Ak",Ak Klevorick,Alvin K. Klevorick,Male
"Marty, Al",Al Marty,Alvin L. Marty,Male
